"genus","different"
"ASCOCHYTA","yes"
"ASER","yes"
"ASIMINA","no"
"ASPALATHUS","no"
"ASPARAGOPSIS","yes"
"ASPARAGUS","no"
"ASPHODELINE","no"
"ASPHODELUS","no"
"ASPICILIA","yes"
"ASPIDOSPERMA","no"
"ASPILIA","no"
"ASPLENIUM","yes"
"ASTASIA","yes"
"ASTER","yes"
"ASTERACANTHA","yes"
"ASTERIAS","yes"
"ASTERICUS","yes"
"ASTILBE","no"
"ASTRAGALUS","no"
"ASTRANTIA","no"
"ASTROCASIA","no"
"ATALANTIA","no"
"ATHAMANTHA","yes"
"ATHANASIA","no"
"ATHEROSPERMA","no"
"ATHRIXIA","no"
"ATHROTAXIS","no"
"ATHYRIUM","no"
"ATLAS","yes"
"ATRACTYLIS","no"
"ATRACTYLODES","no"
"ATRAPHAXIS","no"
"ATROPA","no"
"ATYLOSIA","no"
"AUBRIETIA","yes"
"AUCUBA","no"
"AUSTROBAILEYA","no"
"AUSTROCEDRUS","no"
"AUSTROEUPATORIUM","no"
"AUSTROPLENEKIA","yes"
"AVENA","yes"
"AVICENNIA","no"
"AYAPANA","no"
"AZADIRACHTA","no"
"AZIMA","no"
"AZORELLA","no"
"AZUREOCEREUS","yes"
"BACCHARIS","no"
"BACKHOUSIA","no"
"BACOPA","no"
"BAECKEA","no"
"BAEOMETRA","no"
"BAERIA","yes"
"BAHIA","yes"
"BAIKIAEA","no"
"BAILEYA","no"
"BALAMEANDA","yes"
"BALANOCARPUS","yes"
"BALANOPS","no"
"BALDUINA","no"
"BALFOURODENDRON","no"
"BALIOSPERMUM","no"
"BALLONITES","yes"
"BALLOTA","yes"
"BALSAMITA","yes"
"BALTIMORA","no"
"BANGIA","yes"
"BANISTERIOPSIS","no"
"BAPTISIA","no"
"BARBACENIA","no"
"BARBILOPHAZIA","yes"
"BARLERIA","no"
"BAROSMA","yes"
"BARRACENIA","yes"
"BARRINGTONIA","no"
"BARTLETTINA","no"
"BARTSIA","no"
"BASSIA","no"
"BATHIORHAMNUS","no"
"BAUHINIA","no"
"BAURELLA","yes"
"BAZZANIA","no"
"BEAUMONTIA","no"
"BEDFORDIA","no"
"BEESIA","no"
"BEFARIA","no"
"BEGONIA","no"
"BEILSCHMEIDIA","yes"
"BEJARANOA","no"
